"Площадь, м^2",Этаж квартиры,Кол-во этажей в доме,"Расстояние до центра, км",Чистовая отделка,Проверено в Росреестре,От зайстройщика,Есть Балкон,Есть Лоджия,Metro_Аметьево,Metro_Горки,Metro_Дубравная,Metro_Козья слобода,Metro_Кремлёвская,Metro_Площадь Тукая,Metro_Проспект Победы,Metro_Северный вокзал,Metro_Суконная слобода,Metro_Яшьлек,Цена_log
29.7,3,5,5.626897399541511,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,15.520258832020865
112.8,6,10,2.740220614435927,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,17.21336907180573
31.9,7,24,6.204221523213351,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,15.984422191099869
39.1,3,9,10.360458968085045,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15.59046307836746
89.0,1,4,15.099912533218196,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,16.490141918453276
62.7,9,10,5.376311202737078,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,16.066781093186812
53.2,13,24,5.856430937686289,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,16.548240428483663
44.0,2,2,9.904864256723586,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15.424948670398354
34.0,4,14,10.00885088389832,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15.598901945589025
15.7,1,9,8.82763293694411,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15.155761242362829
62.3,9,10,6.147920968492445,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,16.300417207752275
47.8,11,17,13.125020045464847,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,16.036424643323645
18.0,5,9,5.900915961486425,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,15.0824584431417
101.9,2,19,4.075835805891503,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17.554369968164444
107.0,2,22,3.151100126640919,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,16.70532666151315
32.0,3,6,2.758007067104091,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16.02707636210017
43.0,7,9,5.928343454452666,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,16.20885010555098
84.1,8,9,7.608533038759656,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,16.586785980703663
38.7,13,25,6.221046778159821,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,16.159983093687
42.0,16,18,8.178323314863306,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,15.99955994461641
113.7,6,7,4.084673007625362,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,16.811192880270724
95.9,5,15,2.951355333552338,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,17.180691394306965
56.9,3,17,4.270725201635726,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16.349207451286784
50.8,4,15,2.853745377206112,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,16.669103121994027
65.0,3,5,4.760620948826342,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16.118095750958314
88.4,7,23,6.220011736722559,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,16.878338751596694
55.2,9,13,3.90833064642225,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,16.248246423219673
48.0,11,18,15.013662870070275,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,15.656060350091908
75.5,7,9,20.013182377666222,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,16.195056784687036
22.0,1,9,3.4386917831587285,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,15.253685778321676
150.0,3,5,3.391962276346421,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,17.05418904934434
79.7,6,23,6.220011736722559,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,16.79541325220406
30.3,1,14,7.948410703174765,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,15.86963441986494
70.8,8,9,6.446858236325994,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16.5563506464056
51.4,10,23,6.220011736722559,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,16.4641646198562
35.2,5,15,4.325679310447841,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,15.93777221658751
39.3,2,3,15.8602259937377,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15.285686632949897
71.0,4,10,4.626820007084765,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,16.195056784687036
94.0,3,19,5.174173654515567,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16.666217117271472
59.9,3,9,2.083487819881497,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,16.372737946851277
50.9,23,25,12.925310539717035,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16.031666031987402
70.9,17,19,12.86033109261013,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16.407027017716896
100.0,13,19,3.4474075325360705,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,16.810742756501593
76.1,3,10,6.348495833158853,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,16.612791953770035
53.2,7,9,14.757246284002548,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16.06890551180956
72.1,13,24,5.856430937686289,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,16.624166046526444
100.4,2,4,15.099912533218196,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16.507350140774687
74.8,20,22,3.151100126640919,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,16.88356353960952
28.3,6,25,6.32621916013964,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,16.124648831887733
58.4,5,8,4.444476412478983,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16.55462981189105
50.0,16,22,2.473693845294799,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,16.429250152855314
122.9,3,4,1.3092180431952674,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17.50336451143212
13.1,9,9,6.547502379671188,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14.910784279814974
49.8,2,9,5.228300316347711,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,16.128046080821385
95.8,10,10,2.7453072856584133,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,17.267594349581067
38.3,6,6,0.8203276170097008,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,15.80324804743883
47.6,2,5,15.77138682994782,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,15.520258832020865
40.9,10,16,7.653980428282981,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15.961441957872001
40.0,5,5,8.043917631642207,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,16.00043771997602
30.4,7,25,3.885114415829032,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,16.089323370327545
52.3,3,10,5.494749766727294,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,15.931766193248746
105.0,3,4,15.034553326856026,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16.226950145556497
28.9,11,23,2.7659915767751158,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16.13380668379242
