Чистовая отделка,Проверено в Росреестре,От зайстройщика,Log_Цена,Log_Площадь,Log_Кол_во_этажей,Близость_к_центру_exp,is_first_floor,is_last_floor,Ближайшая станция метро_Аметьево,Ближайшая станция метро_Горки,Ближайшая станция метро_Дубравная,Ближайшая станция метро_Козья слобода,Ближайшая станция метро_Кремлёвская,Ближайшая станция метро_Площадь Тукая,Ближайшая станция метро_Проспект Победы,Ближайшая станция метро_Северный вокзал,Ближайшая станция метро_Суконная слобода,Ближайшая станция метро_Яшьлек,Балкон/Лоджия_Балкон,Балкон/Лоджия_Лоджия
0,1,0,16.372737946851277,4.109233174715851,2.302585092994046,0.7415447515213682,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,16.29204904211537,4.415219602029645,2.302585092994046,0.3569262203256364,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,1,0,16.34123920227253,3.8066624897703196,2.302585092994046,0.6253683746196366,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,16.211586085120334,3.784189633918261,2.3978952727983707,0.4859477435027199,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,16.35669915890729,3.728100167267218,2.833213344056216,0.4775133580594706,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,1,16.385830162111496,4.119037174812473,3.044522437723423,0.40942126974902787,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,16.436520363474,4.102643365036796,2.9444389791664403,0.424213375406165,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,1,16.83104550783405,4.520701029361642,3.295836866004329,0.40244684820182675,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,16.072051817168948,3.822098297900159,1.791759469228055,0.5495658167632622,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,15.623799493077952,3.58351893845611,2.995732273553991,0.2822096335691617,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,16.118095750958314,3.7232808808312687,1.791759469228055,0.5461457904123106,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,1,0,16.50675370854671,4.072439726834051,2.302585092994046,0.46370955600247676,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,16.785925074816024,4.59511985013459,2.3978952727983707,0.28384549663949604,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,1,0,16.231424425551033,4.197201947661808,2.302585092994046,0.5875898348633688,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,16.86951178681205,4.207673247529104,3.044522437723423,0.6616916627991197,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,1,0,16.13789837629371,3.708682081410116,3.2188758248682006,0.4807982231432298,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,1,0,15.520258832020865,3.258096538021482,1.791759469228055,0.46936080085522486,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,15.137266664613225,3.044522437723423,2.3978952727983707,0.3410919965416115,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0,1,0,16.034714150714915,3.9569963710708773,1.791759469228055,0.6114585099543939,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,16.920096832842823,4.736198448394496,2.302585092994046,0.47817345067110845,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,15.511126350125648,3.7376696182833684,1.791759469228055,0.1929624070811078,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,15.876024217147117,3.970291913552122,2.3978952727983707,0.12105951872507112,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,0,15.732433317205148,3.6109179126442243,1.0986122886681098,0.6582675763474469,1,0,0,0,0,0,0,0,0,0,1,0,0,0
